benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_nutrition,dataset,maximum_drawdown_pp,306,20,8.300653594771239,1.5849673202614323,12.81045751633987,1.9607843137254832,7.009803921568625,9.673202614379083,1.4542483660130667,1.7156862745097978,-6.7156862745098085,-8.153594771241835,-5.359477124183011,80.90551181102369
mmlu_nutrition,dataset,switches,306,20,181.25,52.15,231.50000000000003,81.4,163.40000000000003,202.85,43.64875,61.4,-129.1,-145.40125,-113.55000000000001,71.22758620689655
mmlu_nutrition,dataset,largest_drop_pp,306,20,8.18627450980392,1.5849673202614323,12.81045751633987,1.9607843137254832,6.879084967320258,9.6078431372549,1.4542483660130667,1.7156862745097978,-6.601307189542489,-8.088235294117652,-5.228758169934645,80.63872255489028
mmlu_nutrition,dataset,mean_drawdown_pp,306,20,0.06586102527834287,0.02325000039554261,0.1372675593274511,0.076452076836544,0.04329280207201015,0.09378121820825451,0.006595951541271606,0.04585192384062466,-0.042611024882800254,-0.058252939277865116,-0.03126755220768183,64.69839287001213
mmlu_nutrition,dataset,mean_regret_pp,306,20,0.21232653474526156,0.1813745267331488,0.40133345357831446,0.3785992408744327,0.1527416251742356,0.2777693131638182,0.12260006439435245,0.24496711457922857,-0.03095200801211272,-0.0348647362600323,-0.027358106964240958,14.577550586999115
mmlu_nutrition,dataset,final_regret_pp,306,20,0.016339869281045694,0.016339869281045694,0.0,0.0,0.0,0.04901960784313708,0.0,0.04901960784313708,0.0,0.0,0.0,0.0
mmlu_nutrition,dataset,downward_jumps,306,20,84.4,21.65,109.1,32.300000000000004,77.0,92.85,18.3,25.051249999999985,-62.75,-70.25,-55.45,74.3483412322275
mmlu_nutrition,dataset,jumps_ge_2pp,306,20,4.4,0.0,7.100000000000001,0.0,3.05,6.1499999999999995,0.0,0.0,-4.4,-6.1499999999999995,-3.05,100.0
mmlu_nutrition,dataset,any_jump_ge_2pp,306,20,0.95,0.0,1.0,0.0,0.85,1.0,0.0,0.0,-0.95,-1.0,-0.85,100.0
mmlu_philosophy,default,total_downward_pp,311,20,240.35369774919636,58.97106109324763,305.01607717041844,88.23151125401932,216.31792604501626,264.67845659164016,48.359726688102946,69.69453376205792,-181.38263665594872,-201.44734726688117,-162.49155948553067,75.4648829431438
