benchmark,prior,matrix_seed,run_seed,method,budget_fraction,observed_cells,observed_fraction,regret_pp,selected_score_100,best_score_100,selected_n
alpaca_eval,default,1,3,posterior_mean,0.02,2448,0.01987577639751553,21.842876927607634,34.860132892777344,56.70300982038498,16
alpaca_eval,default,1,3,posterior_mean,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,3,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,3,gaussian_lcb_1.645,0.01,1216,0.009872934681118824,21.842876927607634,34.860132892777344,56.70300982038498,16
alpaca_eval,default,1,3,gaussian_lcb_1.645,0.02,2448,0.01987577639751553,21.842876927607634,34.860132892777344,56.70300982038498,16
alpaca_eval,default,1,3,gaussian_lcb_1.645,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,3,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,4,posterior_mean,0.01,1216,0.009872934681118824,1.7364700869177851,54.96653973346719,56.70300982038498,16
alpaca_eval,default,1,4,posterior_mean,0.02,2448,0.01987577639751553,1.7364700869177851,54.96653973346719,56.70300982038498,16
alpaca_eval,default,1,4,posterior_mean,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,4,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,4,gaussian_lcb_1.645,0.01,1216,0.009872934681118824,1.7364700869177851,54.96653973346719,56.70300982038498,16
alpaca_eval,default,1,4,gaussian_lcb_1.645,0.02,2448,0.01987577639751553,1.7364700869177851,54.96653973346719,56.70300982038498,16
alpaca_eval,default,1,4,gaussian_lcb_1.645,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,4,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,5,posterior_mean,0.01,1216,0.009872934681118824,0.0,56.70300982038498,56.70300982038498,16
alpaca_eval,default,1,5,posterior_mean,0.02,2448,0.01987577639751553,0.0,56.70300982038498,56.70300982038498,16
alpaca_eval,default,1,5,posterior_mean,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,5,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,5,gaussian_lcb_1.645,0.01,1216,0.009872934681118824,0.0,56.70300982038498,56.70300982038498,16
alpaca_eval,default,1,5,gaussian_lcb_1.645,0.02,2448,0.01987577639751553,0.0,56.70300982038498,56.70300982038498,16
alpaca_eval,default,1,5,gaussian_lcb_1.645,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,5,gaussian_lcb_1.645,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,6,posterior_mean,0.01,1216,0.009872934681118824,34.62975088752647,22.073258932858504,56.70300982038498,0
alpaca_eval,default,1,6,posterior_mean,0.02,2448,0.01987577639751553,6.703009820384976,50.0,56.70300982038498,16
alpaca_eval,default,1,6,posterior_mean,0.05,6143,0.049876182357000774,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,6,posterior_mean,0.1,12316,0.09999594040514756,0.0,56.70300982038498,56.70300982038498,805
alpaca_eval,default,1,6,gaussian_lcb_1.645,0.01,1216,0.009872934681118824,30.204726362794375,26.4982834575906,56.70300982038498,16
alpaca_eval,default,1,6,gaussian_lcb_1.645,0.02,2448,0.01987577639751553,6.703009820384976,50.0,56.70300982038498,16
