benchmark,prior,matrix_seed,run_seed,method,n_questions,window_begin,window_end,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
mmlu_abstract_algebra,dataset,1,5,posterior_mean,100,0.01,0.1,99.00000000000007,14.000000000000007,60,14.000000000000007,0.053037037037039034,2.0530370370370274,1.9999999999999907,24,21,1
mmlu_abstract_algebra,dataset,1,5,gaussian_lcb_1.645,100,0.01,0.1,18.000000000000014,3.0000000000000027,24,3.0000000000000027,0.012444444444444565,2.0124444444444327,1.9999999999999907,8,6,1
mmlu_abstract_algebra,dataset,1,6,posterior_mean,100,0.01,0.1,72.99999999999997,12.000000000000005,66,12.000000000000005,1.0056296296296305,3.056592592592589,1.0000000000000009,28,18,1
mmlu_abstract_algebra,dataset,1,6,gaussian_lcb_1.645,100,0.01,0.1,39.99999999999997,5.999999999999995,42,5.999999999999995,0.9665185185185206,3.0536296296296266,1.0000000000000009,17,10,1
mmlu_abstract_algebra,dataset,1,7,posterior_mean,100,0.01,0.1,77.00000000000003,9.000000000000002,76,9.000000000000002,0.5706666666666678,3.5804444444444385,4.999999999999993,32,18,1
mmlu_abstract_algebra,dataset,1,7,gaussian_lcb_1.645,100,0.01,0.1,43.00000000000002,9.000000000000002,39,9.000000000000002,2.3783703703703716,5.39111111111111,4.999999999999993,17,10,1
mmlu_abstract_algebra,dataset,1,8,posterior_mean,100,0.01,0.1,147.99999999999994,25.999999999999996,78,23.000000000000004,1.317925925925923,1.317925925925923,0.0,36,28,1
mmlu_abstract_algebra,dataset,1,8,gaussian_lcb_1.645,100,0.01,0.1,64.99999999999997,7.9999999999999964,44,7.9999999999999964,1.2829629629629604,1.2829629629629604,0.0,20,16,1
mmlu_abstract_algebra,dataset,1,9,posterior_mean,100,0.01,0.1,174.00000000000006,23.000000000000004,64,20.000000000000007,1.7294814814814816,5.942814814814812,1.9999999999999907,26,23,1
mmlu_abstract_algebra,dataset,1,9,gaussian_lcb_1.645,100,0.01,0.1,27.000000000000025,6.000000000000005,24,6.000000000000005,1.681777777777778,5.895999999999998,1.9999999999999907,9,7,1
mmlu_abstract_algebra,dataset,1,10,posterior_mean,100,0.01,0.1,84.00000000000006,17.000000000000004,79,17.000000000000004,1.13688888888889,4.669037037037026,1.0000000000000009,33,22,1
mmlu_abstract_algebra,dataset,1,10,gaussian_lcb_1.645,100,0.01,0.1,29.000000000000014,4.0000000000000036,47,3.0000000000000027,0.8557037037037051,4.659259259259249,1.0000000000000009,17,11,1
mmlu_abstract_algebra,dataset,1,11,posterior_mean,100,0.01,0.1,92.00000000000001,19.0,68,19.0,1.6275555555555483,4.167111111111099,2.9999999999999916,27,15,1
mmlu_abstract_algebra,dataset,1,11,gaussian_lcb_1.645,100,0.01,0.1,30.00000000000001,19.0,34,19.0,0.3748148148148146,4.251851851851841,2.9999999999999916,10,2,1
mmlu_abstract_algebra,dataset,1,12,posterior_mean,100,0.01,0.1,98.99999999999993,12.000000000000005,64,12.000000000000005,0.7997037037037047,3.5333333333333248,0.0,31,21,1
mmlu_abstract_algebra,dataset,1,12,gaussian_lcb_1.645,100,0.01,0.1,41.99999999999997,5.999999999999995,37,5.999999999999995,0.7783703703703707,3.5167407407407314,0.0,18,12,1
mmlu_abstract_algebra,dataset,1,13,posterior_mean,100,0.01,0.1,43.00000000000001,8.999999999999996,43,7.000000000000006,1.3161481481481452,2.4557037037036937,8.999999999999996,20,13,1
mmlu_abstract_algebra,dataset,1,13,gaussian_lcb_1.645,100,0.01,0.1,7.000000000000006,3.0000000000000027,8,3.0000000000000027,0.003555555555555414,2.0035555555555433,1.9999999999999907,3,3,1
mmlu_abstract_algebra,dataset,1,14,posterior_mean,100,0.01,0.1,94.00000000000006,27.0,50,27.0,0.06429629629629706,3.3831111111111025,1.9999999999999907,21,17,1
mmlu_abstract_algebra,dataset,1,14,gaussian_lcb_1.645,100,0.01,0.1,21.000000000000018,3.0000000000000027,19,3.0000000000000027,0.02992592592592555,3.3508148148148047,1.9999999999999907,9,7,1
mmlu_abstract_algebra,dataset,1,15,posterior_mean,100,0.01,0.1,154.00000000000006,22.000000000000004,78,21.000000000000004,1.9576296296296274,5.201777777777773,5.999999999999995,33,22,1
mmlu_abstract_algebra,dataset,1,15,gaussian_lcb_1.645,100,0.01,0.1,48.00000000000002,5.000000000000004,45,4.999999999999993,1.9780740740740714,5.223703703703698,5.999999999999995,18,13,1
mmlu_abstract_algebra,dataset,1,16,posterior_mean,100,0.01,0.1,60.00000000000002,17.000000000000004,44,17.000000000000004,1.0506666666666669,4.613037037037027,2.9999999999999916,20,15,1
mmlu_abstract_algebra,dataset,1,16,gaussian_lcb_1.645,100,0.01,0.1,15.000000000000002,4.999999999999993,18,4.0000000000000036,0.06874074074073998,3.6328888888888797,1.9999999999999907,8,3,1
mmlu_abstract_algebra,dataset,1,17,posterior_mean,100,0.01,0.1,58.00000000000004,18.000000000000004,57,18.000000000000004,0.2799999999999987,2.9937777777777663,2.9999999999999916,21,15,1
mmlu_abstract_algebra,dataset,1,17,gaussian_lcb_1.645,100,0.01,0.1,16.000000000000014,3.0000000000000027,31,3.0000000000000027,0.25659259259259215,2.979851851851841,2.9999999999999916,9,6,1
mmlu_abstract_algebra,dataset,1,18,posterior_mean,100,0.01,0.1,85.9999999999999,22.000000000000004,36,19.0,1.2228148148148152,2.4589629629629592,0.0,17,16,1
mmlu_abstract_algebra,dataset,1,18,gaussian_lcb_1.645,100,0.01,0.1,12.999999999999968,4.999999999999993,10,4.999999999999993,0.006222222222222409,2.4157037037037004,0.0,4,4,1
mmlu_abstract_algebra,dataset,1,19,posterior_mean,100,0.01,0.1,132.00000000000009,22.000000000000004,74,22.000000000000004,0.2613333333333338,3.982222222222217,1.9999999999999907,30,25,1
mmlu_abstract_algebra,dataset,1,19,gaussian_lcb_1.645,100,0.01,0.1,44.00000000000004,8.000000000000007,34,8.000000000000007,0.21155555555555508,3.932444444444438,1.9999999999999907,13,12,1
mmlu_abstract_algebra,default,1,0,posterior_mean,100,0.01,0.1,41.00000000000003,11.000000000000004,22,11.000000000000004,0.12444444444444341,3.013629629629619,2.9999999999999916,11,9,1
mmlu_abstract_algebra,default,1,0,gaussian_lcb_1.645,100,0.01,0.1,6.000000000000005,3.0000000000000027,6,3.0000000000000027,0.11170370370370361,3.0011851851851747,2.9999999999999916,3,2,1
mmlu_abstract_algebra,default,1,1,posterior_mean,100,0.01,0.1,109.00000000000003,24.000000000000004,45,21.000000000000004,1.5191111111111122,5.936888888888895,5.999999999999995,19,12,1
mmlu_abstract_algebra,default,1,1,gaussian_lcb_1.645,100,0.01,0.1,52.0,15.999999999999998,23,14.000000000000002,1.4103703703703707,5.928000000000005,5.999999999999995,10,7,1
mmlu_abstract_algebra,default,1,2,posterior_mean,100,0.01,0.1,24.00000000000002,7.000000000000006,23,7.000000000000006,0.23851851851851846,3.6441481481481386,1.9999999999999907,8,5,1
mmlu_abstract_algebra,default,1,2,gaussian_lcb_1.645,100,0.01,0.1,13.00000000000001,7.000000000000006,9,7.000000000000006,0.12503703703703706,3.530666666666659,1.9999999999999907,3,3,1
mmlu_abstract_algebra,default,1,3,posterior_mean,100,0.01,0.1,109.00000000000003,26.999999999999996,48,26.000000000000007,1.2402962962962931,11.700148148148127,1.9999999999999907,20,17,1
mmlu_abstract_algebra,default,1,3,gaussian_lcb_1.645,100,0.01,0.1,57.000000000000014,21.000000000000007,24,21.000000000000007,0.9570370370370338,11.68948148148146,1.9999999999999907,10,9,1
mmlu_abstract_algebra,default,1,4,posterior_mean,100,0.01,0.1,64.00000000000003,23.000000000000004,33,18.0,3.1232592592592585,5.8017777777777635,1.9999999999999907,17,12,1
mmlu_abstract_algebra,default,1,4,gaussian_lcb_1.645,100,0.01,0.1,54.00000000000003,23.000000000000004,23,18.0,3.1398518518518514,5.8183703703703555,1.9999999999999907,12,10,1
mmlu_abstract_algebra,default,1,5,posterior_mean,100,0.01,0.1,43.999999999999964,4.999999999999993,41,4.999999999999993,1.2438518518518469,4.438222222222208,2.9999999999999916,17,11,1
mmlu_abstract_algebra,default,1,5,gaussian_lcb_1.645,100,0.01,0.1,7.000000000000006,3.0000000000000027,17,2.0000000000000018,0.4400000000000001,4.598222222222207,2.9999999999999916,6,1,1
mmlu_abstract_algebra,default,1,6,posterior_mean,100,0.01,0.1,44.00000000000002,27.000000000000007,29,25.000000000000007,1.796444444444446,3.7964444444444356,5.999999999999995,10,7,1
mmlu_abstract_algebra,default,1,6,gaussian_lcb_1.645,100,0.01,0.1,45.00000000000002,27.000000000000007,25,25.000000000000007,1.2266666666666681,3.226666666666661,5.999999999999995,9,8,1
mmlu_abstract_algebra,default,1,7,posterior_mean,100,0.01,0.1,46.00000000000004,6.000000000000005,38,6.000000000000005,1.098962962962964,4.574518518518513,1.9999999999999907,17,12,1
mmlu_abstract_algebra,default,1,7,gaussian_lcb_1.645,100,0.01,0.1,38.000000000000036,6.000000000000005,26,6.000000000000005,2.041777777777781,5.517333333333331,1.9999999999999907,12,9,1
mmlu_abstract_algebra,default,1,8,posterior_mean,100,0.01,0.1,47.00000000000002,6.999999999999995,32,6.999999999999995,0.19259259259259082,3.457777777777769,1.0000000000000009,14,11,1
mmlu_abstract_algebra,default,1,8,gaussian_lcb_1.645,100,0.01,0.1,8.999999999999996,4.0000000000000036,11,4.0000000000000036,0.18874074074073902,3.4545185185185097,1.9999999999999907,5,2,1
mmlu_abstract_algebra,default,1,9,posterior_mean,100,0.01,0.1,46.000000000000014,18.0,38,18.0,2.1982222222222214,6.013629629629628,0.0,17,10,1
mmlu_abstract_algebra,default,1,9,gaussian_lcb_1.645,100,0.01,0.1,35.99999999999999,18.0,25,18.0,2.14548148148148,5.971555555555554,0.0,10,7,1
mmlu_abstract_algebra,default,1,10,posterior_mean,100,0.01,0.1,69.99999999999996,21.999999999999996,35,17.000000000000004,0.9813333333333338,3.426074074074071,3.9999999999999925,15,10,1
mmlu_abstract_algebra,default,1,10,gaussian_lcb_1.645,100,0.01,0.1,29.999999999999975,11.000000000000004,14,11.000000000000004,0.46370370370370295,3.345777777777777,1.0000000000000009,7,5,1
mmlu_abstract_algebra,default,1,11,posterior_mean,100,0.01,0.1,147.00000000000006,32.00000000000001,67,31.000000000000007,1.1434074074074074,4.461333333333318,2.9999999999999916,27,16,1
mmlu_abstract_algebra,default,1,11,gaussian_lcb_1.645,100,0.01,0.1,77.00000000000003,19.0,42,19.0,0.665777777777778,4.44207407407406,2.9999999999999916,16,9,1
mmlu_abstract_algebra,default,1,12,posterior_mean,100,0.01,0.1,53.00000000000005,9.000000000000007,49,9.000000000000007,0.7072592592592604,3.5253333333333243,4.999999999999993,21,15,1
mmlu_abstract_algebra,default,1,12,gaussian_lcb_1.645,100,0.01,0.1,21.000000000000018,4.0000000000000036,22,4.0000000000000036,0.6862222222222225,3.504296296296286,4.999999999999993,9,6,1
mmlu_abstract_algebra,default,1,13,posterior_mean,100,0.01,0.1,75.00000000000004,28.000000000000004,40,28.000000000000004,1.096888888888889,12.035851851851842,5.999999999999995,19,12,1
mmlu_abstract_algebra,default,1,13,gaussian_lcb_1.645,100,0.01,0.1,60.00000000000003,28.000000000000004,20,28.000000000000004,0.700444444444445,11.828444444444411,5.999999999999995,10,8,1
mmlu_abstract_algebra,default,1,14,posterior_mean,100,0.01,0.1,123.99999999999991,24.999999999999993,46,24.999999999999993,0.4242962962962942,2.5597037037036996,0.0,19,16,1
mmlu_abstract_algebra,default,1,14,gaussian_lcb_1.645,100,0.01,0.1,33.99999999999994,4.999999999999993,28,4.999999999999993,0.3955555555555545,2.53096296296296,0.0,12,10,1
mmlu_abstract_algebra,default,1,15,posterior_mean,100,0.01,0.1,108.99999999999999,28.000000000000004,37,27.0,2.908740740740736,4.653925925925921,5.999999999999995,19,16,1
mmlu_abstract_algebra,default,1,15,gaussian_lcb_1.645,100,0.01,0.1,54.99999999999999,28.000000000000004,19,27.0,2.968592592592587,4.713777777777771,5.999999999999995,11,9,1
mmlu_abstract_algebra,default,1,16,posterior_mean,100,0.01,0.1,83.99999999999991,13.999999999999996,31,13.999999999999996,0.031111111111112415,1.7108148148148132,1.0000000000000009,16,15,1
