benchmark,prior,metric,n_runs,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_computer_security,dataset,maximum_drawdown_pp,20,20,11.95,5.299999999999996,18.299999999999997,8.999999999999996,9.75,14.349999999999998,4.099999999999996,6.549999999999997,-6.650000000000001,-8.500000000000004,-4.950000000000003,55.64853556485359
mmlu_computer_security,dataset,switches,20,20,53.2,16.25,86.60000000000004,24.600000000000023,42.10000000000001,65.80125,12.05,20.950000000000003,-36.95,-45.5,-29.3,69.45488721804512
mmlu_computer_security,dataset,largest_drop_pp,20,20,10.1,5.049999999999996,16.200000000000006,8.999999999999996,7.900000000000002,12.550000000000002,3.799999999999998,6.299999999999998,-5.050000000000004,-6.900000000000004,-3.350000000000005,50.000000000000036
mmlu_computer_security,dataset,mean_drawdown_pp,20,20,1.7041333333333308,0.7815111111111104,3.0066962962962913,1.2352000000000016,1.256294814814813,2.2040074074074063,0.4290959259259256,1.2809259259259247,-0.9226222222222207,-1.3260900000000004,-0.5590570370370355,54.140260282189686
mmlu_computer_security,dataset,mean_regret_pp,20,20,3.447140740740717,3.1838518518518293,4.612592592592572,4.384799999999999,2.9851085185184965,3.9153059259259035,2.740191481481464,3.6423374074073793,-0.2632888888888879,-0.5644329629629617,-0.07589333333333304,7.637892058689556
mmlu_computer_security,dataset,final_regret_pp,20,20,2.4999999999999973,2.3499999999999974,4.099999999999994,3.9999999999999925,1.6999999999999993,3.349999999999995,1.6499999999999995,2.9999999999999973,-0.1500000000000001,-0.4500000000000003,0.0,6.000000000000003
mmlu_computer_security,dataset,downward_jumps,20,20,23.75,7.1,37.60000000000002,11.70000000000001,18.450000000000003,29.900000000000002,5.098750000000001,9.4,-16.65,-20.700000000000003,-13.05,70.10526315789473
mmlu_computer_security,dataset,jumps_ge_2pp,20,20,18.0,5.3,30.50000000000002,11.300000000000004,13.45,23.200000000000003,3.55,7.35,-12.7,-16.0,-9.75,70.55555555555556
mmlu_computer_security,dataset,any_jump_ge_2pp,20,20,1.0,0.9,1.0,1.0,1.0,1.0000000000000002,0.75,1.0,-0.1,-0.25,0.0,9.999999999999998
mmlu_anatomy,default,total_downward_pp,20,20,83.55555555555563,27.33333333333336,122.00000000000007,52.14814814814819,69.37037037037042,98.18518518518526,20.51851851851854,34.77870370370373,-56.222222222222264,-67.96296296296299,-46.333333333333364,67.2872340425532
mmlu_anatomy,default,maximum_drawdown_pp,20,20,14.444444444444448,7.296296296296299,20.07407407407408,14.518518518518524,12.258333333333336,16.704629629629622,5.222222222222227,9.703703703703708,-7.148148148148148,-9.814814814814817,-4.777777777777778,49.48717948717948
mmlu_anatomy,default,switches,20,20,61.45,28.95,80.4,42.50000000000001,53.0,70.15,23.6,34.300000000000004,-32.5,-37.95,-27.900000000000002,52.888527257933276
mmlu_anatomy,default,largest_drop_pp,20,20,13.555555555555557,7.000000000000003,20.07407407407408,14.444444444444448,11.40740740740741,15.814814814814818,4.92592592592593,9.370370370370374,-6.5555555555555545,-9.148148148148145,-4.2592592592592595,48.3606557377049
mmlu_anatomy,default,mean_drawdown_pp,20,20,1.186404511507393,0.8906081390032012,1.8004735050551255,1.27413910481126,0.8974857491236092,1.5490740232688116,0.6116692577351021,1.2645731849819646,-0.2957963725041915,-0.4271717725956409,-0.17375328964080722,24.93216855087359
mmlu_anatomy,default,mean_regret_pp,20,20,3.3783467967281426,3.266278514454099,5.060476553370929,4.977574556724038,2.8244377889549375,3.944816592999048,2.7115055631763325,3.8390144286948393,-0.11206828227404379,-0.19935665294925098,-0.030631407813849213,3.3172521655437888
mmlu_anatomy,default,final_regret_pp,20,20,1.8148148148148178,1.7407407407407434,2.9629629629629672,2.9629629629629672,1.3333333333333353,2.2962962962962994,1.296296296296298,2.1851851851851882,-0.07407407407407418,-0.18518518518518545,0.0,4.081632653061236
mmlu_anatomy,default,downward_jumps,20,20,26.0,11.65,36.0,18.200000000000003,22.65,29.550000000000004,9.4,13.95,-14.35,-16.35,-12.600000000000001,55.19230769230769
mmlu_anatomy,default,jumps_ge_2pp,20,20,12.75,4.25,19.0,8.100000000000001,10.600000000000001,14.8,3.1500000000000004,5.401249999999983,-8.5,-10.15,-6.950000000000001,66.66666666666667
mmlu_anatomy,default,any_jump_ge_2pp,20,20,1.0,0.95,1.0,1.0,1.0,1.0000000000000002,0.85,1.0,-0.05,-0.15,0.0,5.000000000000004
