benchmark,prior,matrix_seed,run_seed,method,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
gsm8k,dataset,2,18,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.8395628415300542,0.0,0,0,0
gsm8k,dataset,2,19,posterior_mean,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.02972677595628403,0.21726775956284053,0.0,3,0,0
gsm8k,dataset,2,19,gaussian_lcb_1.645,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.034972677595628276,0.23999999999999894,0.0,3,0,0
gsm8k,dataset,3,0,posterior_mean,21.099999999999987,15.099999999999996,10,15.099999999999996,0.03657559198542807,0.7053551912568307,0.0,4,4,1
gsm8k,dataset,3,0,gaussian_lcb_1.645,0.0,0.0,2,0.0,0.0,0.6859744990892531,0.0,0,0,0
gsm8k,dataset,3,1,posterior_mean,9.299999999999986,4.099999999999998,9,4.099999999999998,0.03628415300546422,0.20459016393442522,0.0,4,3,1
gsm8k,dataset,3,1,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.01049180327868845,0.21551912568305912,0.0,1,0,0
gsm8k,dataset,3,2,posterior_mean,0.0,0.0,1,0.0,0.0,0.6394899817850633,0.0,0,0,0
gsm8k,dataset,3,2,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.6590163934426226,0.0,0,0,0
gsm8k,dataset,3,3,posterior_mean,9.900000000000004,2.9000000000000026,9,2.9000000000000026,0.06936247723132956,0.5524225865209448,0.0,4,3,1
gsm8k,dataset,3,3,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.0017486338797814626,0.490054644808741,0.0,1,0,0
gsm8k,dataset,3,4,posterior_mean,3.799999999999995,2.5999999999999996,5,2.5999999999999996,0.007285974499089249,0.8641165755919854,0.0,2,1,1
gsm8k,dataset,3,4,gaussian_lcb_1.645,2.5999999999999996,2.5999999999999996,2,2.5999999999999996,0.04925318761384336,0.9060837887067394,0.0,1,1,1
gsm8k,dataset,3,5,posterior_mean,0.0,0.0,1,0.0,0.0,1.1989799635701273,0.0,0,0,0
gsm8k,dataset,3,5,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.926484517304189,0.0,0,0,0
gsm8k,dataset,3,6,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.05071038251366098,0.23475409836065464,0.0,1,0,0
gsm8k,dataset,3,6,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.26098360655737585,0.0,0,0,0
gsm8k,dataset,3,7,posterior_mean,4.099999999999998,4.099999999999998,3,4.099999999999998,0.005974499089253192,0.6237522768670308,0.0,1,1,1
gsm8k,dataset,3,7,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.6177777777777776,0.0,0,0,0
